0.25605,0.79106,0.8383,0.15624,0.64764
0.11137,0.96138,0.63494,0.12624,0.53287
0.29733,0.91722,0.88855,0.16897,0.60963
0.13627,0.78792,0.70344,0.17406,0.67377
0.2692,0.79111,0.85071,0.066347,0.59298
0.19069,0.55646,0.95708,0.034517,0.59899
0.29678,0.88043,0.80465,0.12999,0.68458
0.10332,0.77136,0.82123,0.13523,0.69461
0.20496,0.85548,0.79347,0.14544,0.58662
0.25147,0.79463,0.86347,0.31292,0.71375
0.12658,0.83703,0.76757,0.19576,0.64758
0.19451,0.91331,0.71567,0.19252,0.58662
0.30731,0.74457,0.75113,0.18012,0.65634
0.24015,0.76849,0.81966,0.22493,0.54185
0.29437,0.71021,0.93426,0.25508,0.65684
0.45521,0.75952,0.96688,0.43131,0.57572
0.20438,0.84799,0.73143,0.28704,0.63977
0.25349,0.71906,0.80365,0.36753,0.64643
0.16913,0.7333,0.84221,0.17232,0.65248
0.28788,0.71424,0.94321,0.14327,0.5683
0.27011,0.85448,0.82165,0.24411,0.55386
0.16147,0.88157,0.8217,0.21108,0.62322
0.21946,0.8855,0.86901,0.079917,0.63113
0.13067,0.82504,0.78766,0.12351,0.49896
0.2369,0.71931,0.82842,0.17183,0.60227
0.19855,0.92895,0.68012,0.21495,0.58747
0.1191,0.81102,0.83147,0.23885,0.52419
0.17063,0.84852,0.72014,0.29052,0.70278
0.29692,0.79551,0.79252,0.15577,0.64295
0.17264,0.84889,0.75598,0.16645,0.56845
0.16431,0.87837,0.74306,0.262,0.6902
0.11806,0.88076,0.71053,0.29427,0.67339
0.32582,0.84976,0.76695,0.32059,0.60542
0.32609,0.84822,0.73456,0.16561,0.6485
0.30761,0.73579,0.76317,0.30504,0.56006
0.26923,0.78894,0.70589,0.11603,0.5173
0.37032,0.91444,0.81348,0.37448,0.7108
0.13774,0.73138,0.7379,0.20349,0.55816
0.20939,0.73833,0.84853,0.25606,0.65021
0.1866,0.85003,0.84118,0.26983,0.64442
0.35186,0.74619,0.6395,0.31326,0.67265
0.22505,0.68007,0.78699,0.098755,0.63075
0.045989,0.91268,0.77189,0.34605,0.57539
0.23876,0.75114,0.70435,0.14549,0.60261
0.27861,0.8341,0.8046,0.25723,0.52407
0.2105,0.86215,0.90708,0.27634,0.57069
0.17136,0.796,0.83551,0.17638,0.68206
0.24253,0.7411,0.73808,0.21227,0.5612
0.2615,0.87787,0.71555,0.21453,0.57133
0.096345,0.9121,0.81767,0.34447,0.55726
0.17417,0.92483,0.58309,0.017696,0.74231
0.13326,0.85746,0.96333,0.12299,0.62372
0.17659,0.88714,0.78314,0.15898,0.56272
0.26287,0.87322,0.65719,0.11955,0.72067
0.22704,0.78838,0.91561,0.19571,0.59906
0.15234,0.82787,0.85217,0.17408,0.64962
0.2789,0.75474,0.76532,0.20818,0.67168
0.2265,0.7811,0.85349,0.31686,0.56476
0.32806,0.69773,0.7963,0.24857,0.47348
0.2542,0.78878,0.70909,0.29218,0.50837
