0.099957,0.77232,0.80469,0.28077
0.20194,0.83967,0.83896,0.23662
0.11639,0.85262,0.72708,0.16368
0.24306,0.82091,0.87878,0.16028
0.22953,0.79699,0.88486,0.29526
0.21785,0.96225,0.78034,0.29484
0.02154,1.0703,1.0279,0.28805
0.13777,0.79401,0.91057,0.29414
0.29972,0.78683,0.74241,0.11746
0.30935,0.93491,0.91746,0.18587
0.085871,0.87655,0.80345,0.33399
0.21388,0.78032,0.82358,0.22886
0.31137,0.84016,0.7661,0.32599
0.0037613,0.96147,0.90747,0.16877
0.24317,0.76229,0.7012,0.1436
0.15776,0.75199,0.74502,0.30757
0.12733,0.83248,0.88555,0.29935
0.3216,0.89949,0.81146,0.19904
0.14078,0.79451,0.86111,0.33346
-0.0032891,0.89717,0.80935,0.34689
0.19423,0.69465,0.69678,0.25156
0.092578,0.89384,0.78232,0.088477
0.31675,0.8256,0.88994,0.17227
0.23173,0.87361,0.78894,0.1949
0.092742,0.83048,0.93624,0.077206
-0.0048572,0.88009,0.73369,0.26753
0.18593,0.85641,0.71896,0.26114
0.12401,0.859,0.74537,0.23316
0.25834,0.72985,0.78729,0.11679
0.11679,0.68748,0.83558,0.35133
0.14742,0.88906,0.81505,0.16778
0.2482,0.84872,0.86686,0.085843
0.1945,0.73445,0.90707,0.20456
0.080885,0.7567,0.76556,0.38166
0.10852,0.93079,0.85193,0.2266
0.13029,0.87042,0.72266,0.24843
0.091164,0.97649,0.72384,0.40906
0.30109,0.72948,0.74062,0.14943
0.11728,0.85938,0.84412,0.18992
0.088043,0.70062,0.88797,0.18883
0.068456,0.8344,0.69806,0.21213
0.064261,0.80847,0.81046,0.3399
0.17809,0.88173,0.55186,0.17112
0.20628,0.78011,0.85316,0.12478
0.26719,0.89007,0.75234,0.25711
0.15695,0.7558,0.72573,0.26551
0.096125,0.59397,0.92959,0.048919
0.23956,0.75893,0.82682,0.25394
0.17265,0.79987,0.84343,0.32924
0.13558,0.84078,0.7613,0.19875
0.096018,0.74283,0.55394,0.26227
0.28998,0.86692,0.70539,0.24049
0.25225,0.78031,0.87269,0.12765
0.12655,0.88697,0.73706,0.1443
0.25435,0.76841,0.79213,0.153
0.14432,0.75715,0.91564,0.41869
0.16157,0.85049,0.65753,0.33885
0.014524,0.72639,0.89673,0.17914
0.15973,0.75823,0.69603,0.16205
0.26123,0.90233,0.76412,0.07826
0.28792,0.7226,0.61323,0.26728
0.13759,0.74659,0.86363,0.21142
0.25918,0.78433,0.81479,0.10878
0.19419,0.61009,0.64353,0.16315
0.16506,0.81795,0.70651,0.13878
0.16367,0.82109,0.81496,0.18195
0.29353,0.85887,0.74062,0.21233
0.26134,0.67267,0.74013,0.13584
0.11423,0.8063,0.80492,0.30572
0.15278,0.6687,0.87655,0.38951
0.29758,0.71461,0.78856,0.15274
0.20306,0.84567,0.78478,0.26838
0.17012,0.81214,0.84736,0.16383
0.20458,0.84234,0.67906,0.32482
0.2844,0.75878,0.74308,0.11957
0.28334,0.89487,0.57361,0.18412
0.12649,0.72824,0.81493,0.14688
0.22303,0.72386,0.72222,0.14304
0.11432,0.76334,0.87778,0.31116
0.3498,0.93067,0.6667,0.25912
0.26767,0.89667,0.68836,0.11872
0.18131,0.71234,0.73175,0.16619
