0.22059,0.84601,0.83175
0.15706,0.8416,0.8219
0.19035,0.79563,0.79057
0.066637,0.85899,0.90873
0.44519,0.74601,0.57661
0.21689,0.78192,0.83441
0.033933,0.8247,0.72577
-0.087513,1.1611,0.56144
0.17834,0.81459,0.77304
-0.12842,0.43527,0.67183
0.13305,0.74543,0.68677
0.13562,0.88184,0.87717
0.079814,0.767,0.80757
0.20144,0.83588,0.8346
0.25804,0.75573,0.83991
0.17395,0.78665,0.74833
0.23644,0.79681,0.90452
0.20555,0.86753,0.78641
0.17831,0.82616,0.81553
0.15847,0.79535,0.86839
0.062318,0.81212,0.8539
0.18352,0.78207,0.77634
0.068752,0.88873,0.80539
0.21357,0.78063,0.82299
0.29759,0.83508,0.76908
0.21146,0.78512,0.78184
0.13247,0.84657,0.91391
0.065038,0.64229,0.63523
0.11478,0.83877,0.90271
0.18828,0.79115,0.78954
0.10119,0.79215,0.91103
0.1497,0.8211,0.79521
0.19561,0.7577,0.75429
0.34002,0.66521,0.80272
0.15811,0.78896,0.75927
0.18342,0.7697,0.79161
0.3146,0.76066,0.62543
0.15915,0.81308,0.78028
0.18844,0.84248,0.73607
0.17491,0.81604,0.77733
0.10535,0.898,0.79619
0.074668,0.62917,0.85919
0.22845,0.73843,0.77516
0.15043,0.75248,0.72321
0.19664,0.80239,0.78251
-0.081339,0.69898,0.73002
0.18904,0.80909,0.79606
0.15219,0.84641,0.74523
0.098452,0.96413,0.72848
0.12557,0.84417,0.82498
0.21009,0.78726,0.78175
0.20749,0.80768,0.78105
0.19653,0.79781,0.79092
0.026618,0.8115,0.81604
0.19818,0.79015,0.81276
0.174,0.83854,0.64777
0.23875,0.85296,0.76785
0.17712,0.77724,0.75897
0.2206,0.84679,0.75757
0.27156,0.73003,0.85352
0.17006,0.80009,0.84912
0.22118,0.78042,0.80288
0.18478,0.79141,0.76326
0.21318,0.81016,0.77563
0.10638,0.82614,0.65867
0.27953,0.692,0.85479
-0.056956,0.92668,0.78546
0.11468,0.73405,0.98651
0.1774,0.82662,0.71797
0.2167,0.80576,0.77914
0.2249,0.82842,0.86418
0.054923,0.56931,0.84941
0.21676,0.78115,0.7515
0.1972,0.79844,0.79001
0.0091852,0.83817,0.71947
0.19683,0.82542,0.81255
0.25642,0.75946,0.95178
0.22742,0.7759,0.7682
0.19665,0.79792,0.79081
0.18054,0.82861,0.80337
-0.12386,0.83082,0.84552
0.13043,0.60267,0.92036
0.14346,0.84149,0.79211
0.22987,1.0412,0.75981
0.26291,0.76178,0.6487
0.20989,0.87159,0.60556
0.080557,0.84932,0.85394
